temperature,salinity,region
5.0481,32.607,subtropical
0.4268,33.428,polar
8.1175,32.917,subtropical
28.3821,35.089,tropical
24.9101,35.2068,subtropical
17.2048,34.6258,subtropical
22.0399,33.9599,subtropical
26.1729,36.731,tropical
18.8561,33.3121,subtropical
29.6749,34.9948,tropical
1.1079,34.937,polar
28.292,35.0672,tropical
24.1279,35.392,subtropical
-1.5715,33.9182,polar
25.079,35.129,tropical
13.9743,33.4683,subtropical
29.4926,33.8214,tropical
11.7256,35.2391,polar
27.1795,34.8256,tropical
0.3928,33.213,polar
27.2378,35.1988,tropical
-1.5755,34.039,polar
27.4045,33.8692,tropical
28.6081,36.6042,tropical
28.6586,34.2802,tropical
28.9946,34.3851,tropical
-0.9051,33.9982,polar
0.2859,34.793,polar
20.8823,34.7517,subtropical
29.0168,34.2812,tropical
22.4356,34.638,subtropical
27.7386,34.112,tropical
25.3371,34.0941,tropical
0.1818,33.9929,polar
11.5866,34.062,subtropical
14.2397,35.0642,polar
26.1876,34.102,tropical
4.3836,35.0749,polar
13.5953,35.033,polar
5.9688,33.843,subtropical
11.3114,34.51,polar
-0.7673,33.4826,subtropical
-1.0639,33.15,polar
28.9788,34.2881,subtropical
-1.3304,33.6373,polar
27.3624,33.1397,tropical
-0.6781,34.0182,polar
29.9583,34.3479,tropical
22.6922,35.38,subtropical
-1.7721,34.306,polar
-1.3911,33.649,polar
-1.1531,33.7041,polar
-1.6451,31.1175,polar
18.7793,36.3933,subtropical
26.8143,32.6511,tropical
28.2559,33.6867,tropical
28.8165,34.0552,tropical
27.8154,33.6221,tropical
17.1766,17.3909,subtropical
27.0424,33.745,tropical
29.2845,28.8806,tropical
29.6645,34.2781,tropical
12.7205,35.145,polar
19.5811,33.1672,subtropical
25.3368,35.5308,subtropical
8.4028,35.2802,polar
16.5107,34.6409,subtropical
21.4985,34.4509,tropical
12.2619,33.9919,subtropical
5.647,35.0641,polar
24.6396,37.1071,subtropical
21.9161,34.627,subtropical
-1.6898,33.9462,polar
10.4537,34.673,subtropical
26.8222,35.091,tropical
4.8266,32.985,subtropical
24.8979,34.724,tropical
-0.9681,33.749,polar
0.9383,33.7848,polar
1.6198,33.9661,polar
26.6363,36.9266,subtropical
15.8639,33.716,subtropical
0.1443,33.6851,polar
5.6109,32.585,subtropical
-0.3358,33.969,polar
9.0758,34.7211,polar
28.4268,34.428,tropical
27.8088,35.7911,tropical
15.7589,34.5436,subtropical
26.8239,34.0642,tropical
27.1148,35.2386,tropical
23.8552,36.979,subtropical
28.9525,34.1144,tropical
11.5365,32.7,subtropical
10.44,35.0499,polar
29.2316,34.6902,tropical
0.2028,33.932,polar
0.2272,33.056,polar
-1.1547,33.3533,polar
25.9254,35.235,tropical
27.3864,34.6163,subtropical
25.9509,36.227,tropical
20.6716,34.857,subtropical
4.5433,34.7862,polar
-0.6983,34.077,polar
14.5895,33.7431,subtropical
15.9902,33.148,subtropical
22.4887,34.3932,subtropical
13.472,34.337,subtropical
25.8312,33.4637,tropical
23.8995,36.9119,tropical
-0.2782,33.842,polar
27.6914,36.0415,tropical
12.021,35.643,subtropical
28.1388,36.9121,tropical
29.5575,34.873,tropical
-1.0837,34.212,polar
4.8042,34.267,polar
28.0659,35.0557,tropical
11.8254,34.28,subtropical
25.8059,35.6652,tropical
26.7699,37.116,subtropical
1.4585,33.9042,polar
28.975,35.0384,tropical
-0.2528,33.6948,polar
6.7695,32.3912,subtropical
-1.788,34.095,polar
18.8611,36.609,subtropical
25.9485,34.611,subtropical
2.5827,33.687,polar
24.7357,34.3935,subtropical
28.9202,34.5848,subtropical
25.2887,34.6582,subtropical
12.4703,34.8711,polar
13.4603,35.042,polar
28.0262,34.709,tropical
-1.5875,31.081,polar
25.5686,35.199,subtropical
26.8059,34.349,tropical
27.2628,35.349,tropical
28.1597,34.6691,tropical
24.4989,35.318,subtropical
27.3561,34.156,tropical
29.8037,34.3105,tropical
4.9909,34.987,polar
8.5175,35.235,polar
29.8026,34.3143,tropical
7.3426,32.6117,subtropical
3.8151,35.0049,polar
28.4991,33.2346,tropical
12.4582,34.1752,subtropical
10.5117,34.2581,subtropical
26.664,34.4325,tropical
0.379,33.8633,polar
23.1141,35.306,tropical
24.2604,34.4538,tropical
0.0018,33.797,polar
-1.7178,34.161,polar
23.4749,34.1694,subtropical
18.8287,34.7209,subtropical
-0.4606,34.273,polar
8.148,35.1571,polar
27.4828,36.893,tropical
1.9368,33.987,polar
0.7522,33.947,polar
19.2936,34.806,subtropical
28.7082,33.855,tropical
8.1605,33.7093,polar
29.4275,34.5105,tropical
8.8199,35.3062,polar
7.9645,34.3451,polar
-0.6962,33.702,polar
5.1545,32.878,subtropical
28.3648,33.054,tropical
0.4517,33.565,polar
7.4686,32.6274,subtropical
13.8824,33.954,subtropical
-1.7074,34.0447,polar
0.8303,34.0262,polar
7.1789,34.2379,polar
29.7015,33.9462,tropical
28.7647,34.676,subtropical
26.0507,35.359,tropical
26.8781,34.848,tropical
30.6181,35.9565,tropical
26.0191,35.2871,tropical
29.8558,35.496,tropical
1.7405,33.872,polar
28.4953,35.007,tropical
28.6687,34.354,tropical
26.2552,34.9027,tropical
24.5865,35.6103,subtropical
-1.3056,33.9078,polar
19.4095,33.867,subtropical
10.3765,34.0671,subtropical
1.4856,33.5539,polar
5.4156,34.1582,polar
11.748,35.1202,polar
24.5205,35.422,tropical
1.0058,33.711,polar
9.8391,32.9081,subtropical
8.4966,32.5396,subtropical
28.1067,36.347,tropical
27.3568,34.1903,tropical
28.0571,33.0649,tropical
28.9547,34.3292,subtropical
23.4825,34.4834,subtropical
29.2898,33.407,tropical
5.9946,33.308,subtropical
26.5614,35.2169,tropical
28.1931,35.4309,tropical
2.3626,34.8348,polar
30.0257,35.0736,tropical
0.2028,33.9661,polar
29.9018,36.769,tropical
-0.9553,33.942,polar
2.0577,34.054,polar
27.8978,34.2371,tropical
23.519,34.5642,subtropical
5.2522,32.6195,subtropical
21.1068,35.413,subtropical
-1.3686,32.8209,polar
30.2224,34.6361,tropical
24.4834,34.3003,tropical
6.5416,32.9241,subtropical
24.8073,34.7547,subtropical
20.8199,33.7721,subtropical
26.8379,34.626,tropical
25.4859,34.654,tropical
29.7659,31.0049,tropical
22.0028,34.8147,subtropical
20.6397,34.7305,subtropical
28.8834,34.7531,tropical
-1.0632,32.8503,polar
14.7768,32.0882,subtropical
16.6411,33.2821,subtropical
1.8367,33.601,polar
12.4672,32.8066,subtropical
-1.3545,33.9343,polar
28.8968,34.1763,tropical
28.3269,34.789,subtropical
28.4686,34.9,tropical
25.9341,37.5159,subtropical
-0.6117,33.6815,polar
3.4717,33.912,polar
27.611,34.8576,tropical
25.5154,34.9194,subtropical
22.4413,35.37,subtropical
-1.1555,33.5571,polar
22.4601,36.3951,tropical
28.4701,34.704,tropical
20.5315,34.7042,subtropical
17.8927,33.2886,subtropical
0.8478,33.7297,polar
24.4359,36.325,subtropical
27.0842,35.1199,tropical
29.1832,34.93,tropical
28.3928,34.954,tropical
9.3539,35.0201,polar
22.7944,34.6591,subtropical
9.4144,35.2832,polar
17.0272,34.5715,subtropical
23.878,35.081,tropical
8.4253,34.55,subtropical
0.1505,34.777,polar
5.4922,32.893,subtropical
27.1345,33.2371,tropical
4.173,32.653,subtropical
-1.7286,33.6685,polar
27.6461,34.595,tropical
-0.1583,33.6577,polar
0.2058,33.971,polar
28.0889,35.4649,subtropical
-1.7501,33.727,polar
22.9142,34.7967,tropical
13.8787,34.122,subtropical
-0.8042,33.924,polar
-1.567,33.8959,polar
30.0266,33.753,tropical
23.477,37.0118,subtropical
27.6912,34.8136,tropical
8.75,34.3946,polar
11.679,35.0984,polar
27.5168,35.89,tropical
-1.7276,33.4956,polar
-1.8261,33.786,polar
15.1668,35.991,subtropical
-0.9056,33.946,polar
27.3615,34.981,tropical
22.3214,34.4988,subtropical
20.7494,35.3792,subtropical
12.5758,35.646,subtropical
11.5656,32.5249,subtropical
27.6113,36.6979,subtropical
-1.4795,33.8118,polar
14.2155,33.9858,subtropical
3.8498,33.2012,polar
7.3292,35.1681,polar
25.429,35.1969,tropical
-0.4142,33.7722,polar
25.799,35.322,tropical
-0.3402,33.851,polar
25.7423,33.2731,tropical
28.6623,34.868,tropical
13.3217,35.187,polar
29.5518,36.166,subtropical
28.9705,34.3493,tropical
18.9971,36.749,subtropical
29.2051,33.639,tropical
9.592,35.0961,subtropical
-1.8025,33.6229,polar
12.0262,32.4315,subtropical
6.3635,35.0609,polar
7.6878,33.198,subtropical
27.7072,34.6392,tropical
17.5475,34.039,subtropical
10.5774,34.124,subtropical
29.2748,34.662,tropical
-1.7171,31.517,polar
23.5649,36.3971,tropical
30.5464,36.0434,tropical
27.6251,36.688,tropical
10.7369,32.5281,subtropical
17.3334,33.537,subtropical
19.5128,35.8379,subtropical
-1.7351,31.752,polar
0.0507,33.327,polar
-1.7015,33.8266,polar
0.0363,34.072,polar
29.2245,33.6921,tropical
27.4827,33.923,tropical
28.8274,35.2706,tropical
26.8519,35.0212,tropical
-0.4812,34.0573,polar
28.7508,35.8837,tropical
10.9772,33.9971,subtropical
-1.1667,33.906,polar
9.1459,32.5381,subtropical
1.1348,33.8938,polar
-1.7201,31.561,polar
27.9662,34.79,tropical
15.2135,34.4328,subtropical
0.5078,33.5795,polar
14.8017,35.9905,subtropical
29.643,33.8383,tropical
8.307,35.1581,polar
9.9101,32.8163,subtropical
27.5568,34.922,tropical
0.3131,34.7644,polar
0.6928,33.821,polar
-1.3356,33.2846,polar
24.4689,35.9731,tropical
20.379,35.0091,subtropical
22.9761,35.4665,subtropical
-0.6743,33.4436,polar
30.3792,35.053,tropical
-0.7161,33.662,polar
26.1408,35.9243,tropical
30.3759,36.6999,tropical
12.7919,35.5183,subtropical
25.5619,36.315,subtropical
20.7521,33.5422,subtropical
25.4062,34.991,subtropical
16.8542,36.3542,subtropical
27.8841,34.831,tropical
11.0092,34.3641,subtropical
5.2776,34.8855,polar
18.6572,34.8501,subtropical
20.7441,34.8939,subtropical
22.0133,37.4361,subtropical
3.5629,33.9287,polar
4.5374,34.9494,polar
18.7792,34.5684,subtropical
25.9569,35.3054,subtropical
10.2107,32.654,subtropical
18.6518,36.4743,subtropical
20.6768,33.6462,subtropical
-0.3712,34.1713,polar
-1.3541,33.731,polar
-1.14,33.8988,polar
12.1486,34.8163,polar
27.3005,34.6303,tropical
2.7805,34.6237,subtropical
27.2989,34.132,tropical
25.9581,36.425,tropical
0.5916,33.8989,polar
27.9803,34.7358,tropical
3.5375,35.0275,polar
5.0118,35.057,polar
0.1705,32.9021,subtropical
-1.3723,34.0858,polar
20.1112,34.21,subtropical
23.0245,35.0995,subtropical
29.8303,34.2261,tropical
28.962,32.8004,tropical
19.7833,34.3249,subtropical
26.6638,36.0033,tropical
21.8887,34.817,subtropical
18.253,34.7068,subtropical
27.0758,34.8672,tropical
24.5076,35.7682,tropical
28.7503,34.5332,tropical
25.7129,36.516,tropical
-1.5805,34.1239,polar
24.5121,35.3949,subtropical
28.247,34.405,tropical
-0.5619,34.085,polar
22.8025,33.984,tropical
1.4758,34.866,polar
23.9272,34.6193,tropical
26.1334,35.0369,subtropical
0.2248,33.5697,polar
26.3335,31.764,tropical
3.9667,32.7169,subtropical
28.45,34.7249,tropical
4.8589,34.0499,polar
26.5217,35.0465,tropical
-1.7676,34.2905,polar
-0.3329,33.6399,polar
27.36,34.1125,subtropical
-1.2841,33.665,polar
-0.1574,33.35,polar
1.0178,33.8249,polar
27.603,34.018,tropical
16.2682,35.6561,subtropical
6.5112,32.363,subtropical
22.2657,33.9646,subtropical
28.4083,34.7431,tropical
7.57,34.506,polar
9.2157,35.223,polar
4.5527,33.7785,polar
27.573,36.5193,tropical
29.6765,34.8334,tropical
24.3759,37.0422,subtropical
-1.2175,34.0072,polar
25.8506,35.322,subtropical
-0.6456,33.8483,polar
27.3843,34.9639,subtropical
29.71,33.9308,tropical
-1.7691,34.1123,polar
18.8061,36.622,subtropical
21.2132,37.0215,subtropical
0.8992,33.8054,polar
19.0721,34.6659,subtropical
28.6877,34.9971,tropical
28.9983,35.0215,tropical
4.6572,34.849,polar
3.2717,33.815,polar
25.7619,34.0792,tropical
30.0767,33.8739,tropical
